Phồn_thể,Giản_thể,Pinyin,Phiên_âm_Hán_Việt
予,予,yǔ,dư / dữ / nhừ
二,二,èr,nhị / nhì
亍,亍,chù,xúc / sục
于,于,yú,vu / hu
亘,亘,gèn,hoàn / tuyên
亙,亘,gèn,cẳng / cắng
些,些,xiē,ta / tá
亟,亟,jí,khí / cức / cấc
乃,乃,nǎi,ái / nãi / nải
乍,乍,zhà,chạ / sạ
乎,乎,hū,hồ / hô
乘,乘,chéng,thặng / thừa
九,九,jiǔ,cưu / cửu
乞,乞,qǐ,khí / khất
乳,乳,rǔ,vú / nhũ
乾,干,qián / gān,can / kiền
丞,丞,chéng,chưng / thừa
丟,丢,diū,điêu / đâu
丢,丢,diū,điêu / đâu
丫,丫,yā,nha / a
中,中,zhōng,trung / trúng
丹,丹,dān,đan / đam
主,主,zhǔ,chủ / chúa
丿,丿,piě,triệt / phiệt / phết
俚,俚,lǐ,lý / lái
俛,俛,fǔ,phủ / miễn
俶,俶,chù,thích / thục
俺,俺,ǎn,yêm / em
倅,倅,cuì,thối / tốt
且,且,qiě,thư / thả
丕,丕,pī,phi / vậy
丘,丘,qiū,khiêu / khâu
倩,倩,qiàn,thiến / sai
倬,倬,zhuō,trác / xấc
倭,倭,wō,oa / uy / nụy / oải
偃,偃,yǎn,yển / ễnh
假,假,jiǎ,giá / giả
偲,偲,cāi,tai / ti
傅,傅,fù,phụ / phó
傍,傍,bàng,bàng / bạng
上,上,shàng,thượng / thướng
下,下,xià,hạ / há
不,不,bù,phi / phủ / bất / phầu
倉,仓,cāng,thương / thảng
們,们,men,môn / món
倘,倘,tǎng,thảng / thẳng
候,候,hòu,hầu / hậu
倡,倡,chàng,xương / xướng
㽿,㽿,guǒ,khỏa / cùi
䇄,䇄,qì,ngật / ngất
䊷,䌶,zhì,chỉ / chài
䏾,䏾,bèng,bàng / bọng
䶶,䶶,tí,đề / đè
丁,丁,dīng,đinh / chênh
万,万,wàn / mò,vạn / mặc
三,三,sān,tam / tám
亡,亡,wáng,vô / vong
㫾,㫾,zhǎng,chưởng / thửng
㳉,㳉,jié,kiệt / ngoét
㳯,㳯,bàn,bạn / tăn
㷚,㷚,tíng,đình / đoành
㷝,㷝,shù,thuật / dụt
㹯,㹯,hú,hồ / hươu
㺧,㺧,xī,hy / heo
勑,勑,chì,lai / sắc
勒,勒,lēi,lặc / lắc
勖,勖,xù,úc / húc
勝,胜,shèng,thăng / thắng
勦,勦,chāo,tiễu / tẹo
勺,勺,sháo,chước / thược
匍,匍,pú,bồ / bò
匏,匏,páo,bào / bầu
剸,剸,tuán,chuyên / chuyển
剽,剽,piāo / piào,phiếu / phiểu
劂,劂,jué,quyết / khoét
劃,划,huà,hoạch / vạch
劑,剂,jì,tễ / tề
劓,劓,yì,nhị / tị
劾,劾,hé,hạch / hặc
勁,劲,jìn,kính / cứng
剚,剚,zì,chí / tứ
剝,剥,bō,bác / bóc
剞,剞,jī,kì / kỉ / ỷ
剪,剪,jiǎn,tiễn / tiện
割,割,gē,cát / cắt
剴,剀,kǎi,cái / cai
創,创,chuàng,sang / sáng
剷,铲,chǎn,sản / xẻng
刃,刃,rèn,nhận / nhẫn
分,分,fēn,phân / phận
切,切,qiè,thế / thiết
刊,刊,kān,san / khan
別,别,bié,biệt / biết
刷,刷,shuā,loát / xoát
刺,刺,cì,thích / thứ
剖,剖,pōu / pǒ,bo / phẩu
句,句,jù,câu / cấu / cú
召,召,zhào,triệu / chịu
叭,叭,bā,bá / bớt
可,可,kě,khắc / khả
台,台,tái,di / đài / thai
叱,叱,chì,sất / sứt
司,司,sī,tư / ti
吃,吃,chī,cật / khật
厘,厘,lí,li / ly
厝,厝,cuò,thác / thố / xó
厭,厌,yàn,yêm / ấp / áp / yếm / ướm
厲,厉,lì,lệ / lại / lẹ
去,去,qù,khu / khứ
參,参,cān,sâm / tham / xam
又,又,yòu,lại / hựu
反,反,fǎn,phiên / phản
卒,卒,zú,tuất / tốt / thốt
協,协,xié,hiệp / hiếp
占,占,zhàn,chiêm / chiếm
卲,卲,shào,thiều / thiệu / ngoẹo
卷,卷,juǎn,quyến / quyền / quyển
厄,厄,è,ách / ngỏa
厓,厓,yá,nhai / day
厔,厔,zhì,chất / chái
化,化,huà,hóa / hoá
匜,匜,yí,di / dị
匝,匝,zā,táp / tạp
匡,匡,kuāng,khuông / khuôn
匣,匣,xiá,hạp / hộp
匱,匮,guì,quỹ / quĩ
區,区,qū,âu / khu
卄,卄,niàn,chấp / nhập
咆,咆,páo,bào / bàu
咈,咈,fú,phất / phớt
咋,咋,zǎ,trách / trá / chạ
和,和,hé,hoà / hòa / họa
咎,咎,jiù,cao / cữu
咏,咏,yǒng,vịnh / vẳng
