epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.0245,1.35832,1.21166,1.38317,0.96959,0.92783,0.97109,0.74095,0.89544,0.68204,1.02017,0.000662162,0.000662162,0.000662162
2,40.0366,0.82006,0.57267,0.98391,0.95576,0.9652,0.98915,0.762,0.84993,0.56802,0.98202,0.00130252,0.00130252,0.00130252
3,58.7269,0.80713,0.52753,0.95594,0.90062,0.92724,0.9519,0.72888,0.8104,0.61552,0.98462,0.00191647,0.00191647,0.00191647
4,77.1632,0.78829,0.49358,0.94967,0.97411,0.97122,0.99225,0.76333,0.87067,0.51243,0.92613,0.0018812,0.0018812,0.0018812
5,95.4523,0.73324,0.46176,0.91902,0.9807,0.98001,0.99251,0.81128,0.69494,0.43445,0.89672,0.0018416,0.0018416,0.0018416
6,114.08,0.73139,0.44369,0.91007,0.98124,0.98317,0.99165,0.80533,0.71445,0.42693,0.89422,0.001802,0.001802,0.001802
7,132.827,0.73482,0.43805,0.91203,0.98759,0.98988,0.99421,0.81591,0.73681,0.41543,0.88638,0.0017624,0.0017624,0.0017624
8,151.26,0.69259,0.40693,0.89829,0.98671,0.97717,0.99312,0.82889,0.69609,0.42194,0.89558,0.0017228,0.0017228,0.0017228
9,169.543,0.69761,0.41304,0.90383,0.98786,0.98899,0.99392,0.83059,0.68065,0.38997,0.87701,0.0016832,0.0016832,0.0016832
10,187.828,0.69755,0.3974,0.89591,0.99008,0.98709,0.99415,0.84748,0.66157,0.3677,0.87345,0.0016436,0.0016436,0.0016436
11,206.756,0.68246,0.38364,0.89692,0.99173,0.9864,0.99441,0.82546,0.70077,0.39783,0.88001,0.001604,0.001604,0.001604
